# Index number,# Trap location y-coordinate of trap in SVY21 coordinate system,# Trap location x-coordinate of trap in SVY21 coordinate system,"# Deployment contractor, grouped A or B/C",# Trap deployment date in Julian date format (yyddd),"# sin(ops_start), to account for seasonal variations","# cos(ops_start),  to account for seasonal variations",# Population density of crows at trap vicinity (crow per hectare); estimate from data by Tan et al 2020,"# Number of feeding cases in a 250m radius around trap, prior to trap deployement","# Number of feeding cases in a 500m radius around trap, prior to trap deployement","# Percentage of built up area (including roads, buildings, and other urban structures) in a 250m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 250m radius of the trap",# Percentage of tree canopy cover in a 250m radius of the trap,"# Percentage of built up area (including roads, buildings, and other urban structures) in a 500m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 500m radius of the trap",# Percentage of tree canopy cover in a 500m radius of the trap,"# Spatial-temporal index of proximity; a smaller interval between this trap and the previous one, smaller  distance between adjacent traps, and greater number of prior traps would give a greater value",# Total number of crows caught per active day of operation; inactive days where the trap was not monitored or operated (eg weekends) or days of inclement weather were excluded,# Presence of other birds trapped (Javan mynas or rock pigeons)
idx,lat_svy21_adj,lon_svy21_adj,contractor,ops_start,sin_ops_start,cos_ops_start,pop_density,feeding_count_250m,feeding_count_500m,builtup_area_250m,human_veg_area_250m,tree_canopy_area_250m,builtup_area_500m,human_veg_area_500m,tree_canopy_area_500m,proximity_index,crows_caught_per_day,other_birds
84,34934.13309,37256.5628,A,22234,-0.767880446,-0.640593179,0.280309064,7,20,63.0628393,36.9371607,21.37850369,61.68888896,36.97124944,16.81978267,142.3695276,5.285714286,FALSE
85,37077.93288,39667.12944,A,22242,-0.848351198,-0.529433891,0.309519267,6,23,78.20482889,21.551224,2.659605947,77.27310695,22.12103021,4.740854012,135.5287584,0.571428571,FALSE
86,37352.12296,41500.92383,A,22245,-0.874480958,-0.485059846,0.133100244,9,26,81.63964678,18.34134066,2.232764044,78.00112351,21.99288847,4.01606421,137.0757881,1.125,FALSE
87,34574.66209,38703.73294,A,22262,-0.977063856,-0.21294652,0.341452151,6,42,54.52922948,45.47021133,29.79864396,62.61588837,37.08522299,22.64723347,144.4733087,1.75,FALSE
88,37351.96771,41492.06525,A,22299,-0.91284586,0.408304342,0.133100244,10,33,81.52530905,18.45567841,2.193665096,78.07643213,21.9176614,4.003949766,174.2433674,1.142857143,FALSE
89,35371.34916,37958.2509,A,22292,-0.955210651,0.295926701,0.277482624,2,8,54.85450986,39.28315299,13.96293395,44.18449464,45.19332593,24.98090005,164.2696708,2.428571429,FALSE
90,34943.01201,37249.03931,A,22308,-0.839137755,0.543918954,0.280309064,16,30,63.27088567,36.72911433,20.88317706,61.80638941,36.86442026,16.6750565,187.1839264,1.125,FALSE
91,35165.12297,37218.40491,A,23044,0.685547606,0.728027801,0.27778481,18,43,64.44108308,32.70708505,8.88355482,59.9380111,38.04340621,16.76638363,281.6001417,1.285714286,FALSE
92,34406.63107,34850.84892,A,22180,0.051478755,-0.99867409,0.227018897,1,2,79.18785203,20.7551566,0.165195749,80.32587176,18.82128976,2.64649504,72.55489597,7.333333333,FALSE
93,46503.41978,23921.59506,A,22337,-0.477535886,0.878612245,0.257112313,3,19,78.945269,19.72837205,9.376080524,73.64187804,25.33467105,11.36732884,207.465801,0.428571429,FALSE
94,43881.45161,18546.69898,A,22337,-0.477535886,0.878612245,0.006150707,0,0,67.1979485,32.8020515,1.422545437,83.05255841,16.34283778,1.406346348,205.5122676,6.428571429,TRUE
95,33270.45924,20430.48128,A,23010,0.170829743,0.985300563,0.306006355,8,37,64.69439423,35.03323235,22.6192024,69.38548457,30.44728188,18.23938431,239.7382613,3,FALSE
96,31775.98455,36379.60629,A,23061,0.866025404,0.5,0.308034833,8,18,71.34946546,28.60421464,14.86999207,63.93266901,32.72899754,20.70039111,333.1867682,1.714285714,FALSE
97,38974.81339,30275.81853,A,22347,-0.320423273,0.947274472,0.354082509,23,93,57.66942208,42.33057792,5.251503176,57.67872889,42.32127111,9.246071406,228.7094036,5.375,FALSE
98,33879.40625,33723.83847,A,23015,0.25467112,0.967027725,0.350561105,14,65,60.49217432,35.05627119,10.08920537,59.16705888,36.51169645,12.87235257,254.9714268,4.857142857,FALSE
99,33139.53413,33508.84077,A,23019,0.320423273,0.947274472,0.318059849,9,82,74.54525883,25.01120718,4.857484764,73.17068823,26.58077388,8.957545852,256.1875454,1.857142857,FALSE
